Symbol,NAME OF COMPANY,ListingDate
JAIBALAJI,Jai Balaji Industries Limited,2003-12-09
JAICORPLTD,Jai Corp Limited,1997-11-26
JAINREC,Jain Resource Recycling Limited,2025-10-01
JAIPURKURT,Nandani Creation Limited,2021-09-02
JAMNAAUTO,Jamna Auto Industries Limited,2010-12-10
JARO,Jaro Institute of Technology Management and Research Limited,2025-09-30
JASH,Jash Engineering Limited,2019-10-30
JAYAGROGN,Jayant Agro Organics Limited,1996-04-17
JAYBARMARU,Jay Bharat Maruti Limited,1996-01-03
JAYKAY,Jaykay Enterprises Limited,2025-12-03
JAYNECOIND,Jayaswal Neco Industries Limited,1995-05-10
JAYSREETEA,Jayshree Tea & Industries Limited,1995-02-15
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,2003-04-29
JBMA,JBM Auto Limited,2004-12-17
JETFREIGHT,Jet Freight Logistics Limited,2021-12-21
JGCHEM,J.G.Chemicals Limited,2024-03-13
JHS,JHS Svendgaard Laboratories Limited,2006-10-21
JINDALPHOT,Jindal Photo Limited,2005-04-07
JINDALPOLY,Jindal Poly Films Limited,2002-01-21
JINDALSAW,Jindal Saw Limited,2003-04-29
JINDALSTEL,JINDAL STEEL LIMITED,1999-12-29
JINDRILL,Jindal Drilling And Industries Limited,2006-12-22
JINDWORLD,Jindal Worldwide Limited,2010-11-25
JIOFIN,Jio Financial Services Limited,2023-08-21
JISLDVREQS,Jain Irrigation Systems Limited,2011-11-30
JISLJALEQS,Jain Irrigation Systems Limited,2001-08-13
JITFINFRA,JITF Infralogistics Limited,2017-02-27
JKCEMENT,JK Cement Limited,2006-03-14
JKIL,J.Kumar Infraprojects Limited,2008-02-12
JKIPL,Jinkushal Industries Limited,2025-10-03
JKLAKSHMI,JK Lakshmi Cement Limited,2006-06-19
JKPAPER,JK Paper Limited,2005-06-16
JKTYRE,JK Tyre & Industries Limited,2007-03-19
JLHL,Jupiter Life Line Hospitals Limited,2023-09-18
JMA,Jullundur Motor Agency (Delhi) Limited,2015-03-16
JMFINANCIL,JM Financial Limited,2006-10-10
JNKINDIA,JNK India Limited,2024-04-30
JOCIL,Jocil Limited,2008-10-08
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,2013-11-11
JPPOWER,Jaiprakash Power Ventures Limited,2005-04-18
JSFB,Jana Small Finance Bank Limited,2024-02-14
JSL,Jindal Stainless Limited,2003-11-17
JSLL,Jeena Sikho Lifecare Limited,2025-08-11
JSWCEMENT,JSW Cement Limited,2025-08-14
JSWDULUX,JSW Dulux Limited,2001-06-28
JSWENERGY,JSW Energy Limited,2010-01-04
JSWHL,JSW Holdings Limited,2005-06-21
JSWINFRA,JSW Infrastructure Limited,2023-10-03
JSWSTEEL,JSW Steel Limited,2005-03-23
JTEKTINDIA,Jtekt India Limited,2004-01-12
JTLIND,JTL INDUSTRIES LIMITED,2023-06-12
JUBLCPL,Jubilant Agri and Consumer Products Limited,2025-02-14
JUBLFOOD,Jubilant Foodworks Limited,2010-02-08
JUBLINGREA,Jubilant Ingrevia Limited,2021-03-19
JUBLPHARMA,Jubilant Pharmova Limited,2003-06-16
JUNIPER,Juniper Hotels Limited,2024-02-28
JUSTDIAL,Just Dial Limited,2013-06-05
JWL,Jupiter Wagons Limited,2010-10-18
JYOTHYLAB,Jyothy Labs Limited,2007-12-19
JYOTICNC,Jyoti CNC Automation Limited,2024-01-16
JYOTISTRUC,Jyoti Structures Limited,1995-07-19
KABRAEXTRU,Kabra Extrusion Technik Limited,1995-09-06
KAJARIACER,Kajaria Ceramics Limited,2004-06-01
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,1995-12-13
KALAMANDIR,Sai Silks (Kalamandir) Limited,2023-09-27
KALPATARU,Kalpataru Limited,2025-07-01
KALYANI,Kalyani Commercials Limited,2017-02-13
KALYANIFRG,Kalyani Forge Limited,2007-12-20
KALYANKJIL,Kalyan Jewellers India Limited,2021-03-26
KAMAHOLD,Kama Holdings Limited,2026-04-20
KAMATHOTEL,Kamat Hotels (I) Limited,1996-05-29
KAMDHENU,Kamdhenu Limited,2006-05-09
KAMOPAINTS,Kamdhenu Ventures Limited,2023-01-24
KANANIIND,Kanani Industries Limited,2011-12-14
KANCHI,Kanchi Karpooram Limited,2026-04-20
KANORICHEM,Kanoria Chemicals & Industries Limited,1995-02-08
KANPRPLA,Kanpur Plastipack Limited,2021-01-01
KANSAINER,Kansai Nerolac Paints Limited,2003-09-15
KAPSTON,Kapston Services Limited,2020-05-27
KARMAENG,Karma Energy Limited,2011-06-28
KARURVYSYA,Karur Vysya Bank Limited,2000-07-26
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,2007-12-14
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,2008-01-29
KAYA,Kaya Limited,2015-08-14
KAYNES,Kaynes Technology India Limited,2022-11-22
KCP,KCP Limited,1997-04-09
KCPSUGIND,KCP Sugar and Industries Corporation Limited,1997-06-11
KDDL,KDDL Limited,2016-03-23
KEC,KEC International Limited,2006-03-10
KECL,Kirloskar Electric Company Limited,2010-03-09
KEEPLEARN,DSJ Keep Learning Limited,1995-03-01
KEI,KEI Industries Limited,2006-03-23
KELLTONTEC,Kellton Tech Solutions Limited,2016-03-02
KENNAMET,Kennametal India Limited,2026-04-20
KERNEX,Kernex Microsystems (India) Limited,2005-12-20
KESORAMIND,Kesoram Industries Limited,1995-09-06
KEYFINSERV,Keynote Financial Services Limited,1996-06-26
KFINTECH,Kfin Technologies Limited,2022-12-29
KHADIM,Khadim India Limited,2017-11-14
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,2020-10-30
KHAITANLTD,Khaitan (India) Limited,1995-12-20
KHANDSE,Khandwala Securities Limited,2001-02-07
KICL,Kalyani Investment Company Limited,2011-01-14
KILITCH,Kilitch Drugs (India) Limited,2010-09-29
KIMS,Krishna Institute of Medical Sciences Limited,2021-06-28
KINGFA,Kingfa Science & Technology (India) Limited,2016-11-15
KIOCL,KIOCL Limited,2016-11-29
KIRANVYPAR,Kiran Vyapar Limited,2026-04-20
KIRIINDUS,Kiri Industries Limited,2008-04-22
KIRLFER,Kirloskar Ferrous Industries Limited,2026-04-20
KIRLOSBROS,Kirloskar Brothers Limited,2010-04-20
KIRLOSENG,Kirloskar Oil Engines Limited,2010-12-24
KIRLOSIND,Kirloskar Industries Limited,2010-06-24
KIRLPNU,Kirloskar Pneumatic Company Limited,2023-04-26
KISSHT,OnEMI Technology Solutions Limited,2026-05-08
KITEX,Kitex Garments Limited,2012-09-25
KKCL,Kewal Kiran Clothing Limited,2006-04-13
KLBRENG-B,Kilburn Engineering Limited,2026-04-20
KMEW,Knowledge Marine & Engineering Works Limited,2024-11-14
KMSUGAR,K.M.Sugar Mills Limited,2007-05-31
KNAGRI,KN Agri Resources Limited,2025-12-09
KNRCON,KNR Constructions Limited,2008-02-18
KOHINOOR,Kohinoor Foods Limited,1999-10-20
KOKUYOCMLN,Kokuyo Camlin Limited,2008-07-28
KOLTEPATIL,Kolte - Patil Developers Limited,2007-12-13
KOPRAN,Kopran Limited,1999-06-09
KOTAKBANK,Kotak Mahindra Bank Limited,1995-12-20
KOTARISUG,Kothari Sugars And Chemicals Limited,2004-12-13
KOTHARIPET,Kothari Petrochemicals Limited,1996-11-02
KOTHARIPRO,Kothari Products Limited,1998-06-03
KOTIC,Kothari Industrial Corporation Limited,2026-04-20
KOTYARK,Kotyark Industries Limited,2026-03-12
KOVAI,Kovai Medical Center & Hospital Limited,2026-04-20
KPEL,K.P. Energy Limited,2024-11-14
KPIGREEN,KPI Green Energy Limited,2021-07-27
KPIL,Kalpataru Projects International Limited,2000-12-15
KPITTECH,KPIT Technologies Limited,2019-04-22
KPL,Kwality Pharmaceuticals Limited,2026-04-20
KPRMILL,K.P.R. Mill Limited,2007-08-28
KRBL,KRBL Limited,2002-01-21
KREBSBIO,Krebs Biochemicals and Industries Limited,1996-01-03
KRIDHANINF,Kridhan Infra Limited,2015-12-11
KRISHANA,Krishana Phoschem Limited,2019-08-22
KRISHIVAL,Krishival Foods Limited,2025-06-20
KRISHNADEF,Krishna Defence And Allied Industries Limited,2025-12-30
KRITI,Kriti Industries (India) Limited,2021-11-01
KRITIKA,Kritika Wires Limited,2022-05-04
KRITINUT,Kriti Nutrients Limited,2022-10-07
KRN,KRN Heat Exchanger and Refrigeration Limited,2024-10-03
KRONOX,Kronox Lab Sciences Limited,2024-06-10
KROSS,Kross Limited,2024-09-16
KRSNAA,Krsnaa Diagnostics Limited,2021-08-16
KRYSTAL,Krystal Integrated Services Limited,2024-03-21
KSB,Ksb Limited,1995-02-08
KSCL,Kaveri Seed Company Limited,2007-10-04
KSHINTL,KSH International Limited,2025-12-23
KSHITIJPOL,Kshitij Polyline Limited,2022-07-27
KSL,Kalyani Steels Limited,2010-05-19
KSOLVES,Ksolves India Limited,2022-09-23
KSR,KSR Footwear Limited,2025-11-27
KTKBANK,The Karnataka Bank Limited,2000-05-10
KUANTUM,Kuantum Papers Limited,2019-10-23
KWIL,Kwality Wall's (India) Limited,2026-02-16
LAGNAM,Lagnam Spintex Limited,2021-09-30
LAHOTIOV,Lahoti Overseas Limited,2026-04-20
LAKPRE,Lakshmi Precision Screws Limited,2006-09-26
LAL,Lorenzini Apparels Limited,2023-04-10
LALPATHLAB,Dr. Lal Path Labs Ltd.,2015-12-23
LAMBODHARA,Lambodhara Textiles Limited,2015-02-04
LANCORHOL,Lancor Holdings Limited,2024-03-12
LANDMARK,Landmark Cars Limited,2022-12-23
LANDSMILL,Landsmill Green Limited,2009-08-03
LAOPALA,La Opala RG Limited,2007-03-16
LASA,Lasa Supergenerics Limited,2017-09-21
LATENTVIEW,Latent View Analytics Limited,2021-11-23
LATTEYS,Latteys Industries Limited,2023-05-23
LAURUSLABS,Laurus Labs Limited,2016-12-19
LAXMICOT,Laxmi Cotspin Limited,2021-11-12
LAXMIDENTL,Laxmi Dental Limited,2025-01-20
LAXMIINDIA,Laxmi India Finance Limited,2025-08-05
LCCINFOTEC,LCC Infotech Limited,2000-03-02
LEMERITE,Le Merite Exports Limited,2025-12-12
LEMONTREE,Lemon Tree Hotels Limited,2018-04-09
LENSKART,Lenskart Solutions Limited,2025-11-10
LEXUS,Lexus Granito (India) Limited,2023-03-13
LFIC,Lakshmi Finance & Industrial Corporation Limited,2015-04-15
LGBBROSLTD,LG Balakrishnan & Bros Limited,2010-03-30
LGEINDIA,LG Electronics India Limited,2025-10-14
LGHL,Laxmi Goldorna House Limited,2023-11-10
LIBAS,Libas Consumer Products Limited,2019-07-23
LIBERTSHOE,Liberty Shoes Limited,1995-09-27
LICHSGFIN,LIC Housing Finance Limited,1998-07-29
LICI,Life Insurance Corporation Of India,2022-05-17
LIKHITHA,Likhitha Infrastructure Limited,2020-10-15
LINC,Linc Limited,2015-03-09
LINCOLN,Lincoln Pharmaceuticals Limited,2015-12-17
LINDEINDIA,Linde India Limited,1999-06-16
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,2016-07-18
LLOYDSENT,Lloyds Enterprises Limited,2024-10-17
LLOYDSME,Lloyds Metals And Energy Limited,2023-07-17
LMW,LMW Limited,1995-03-29
LODHA,Lodha Developers Limited,2021-04-19
LOKESHMACH,Lokesh Machines Limited,2006-05-05
LORDSCHLO,Lords Chloro Alkali Limited,2023-08-28
LOTUSDEV,Sri Lotus Developers and Realty Limited,2025-08-06
LOTUSEYE,Lotus Eye Hospital and Institute Limited,2008-07-11
LOVABLE,Lovable Lingerie Limited,2011-03-24
LOYALTEX,Loyal Textile Mills Limited,2022-08-11
LPDC,Landmark Property Development Company Limited,2008-08-12
LT,Larsen & Toubro Limited,2004-06-23
LTF,L&T Finance Limited,2011-08-12
LTFOODS,LT Foods Limited,2006-12-18
LTM,LTM Limited,2016-07-21
LTTS,L&T Technology Services Limited,2016-09-23
LUMAXIND,Lumax Industries Limited,1995-09-06
LUMAXTECH,Lumax Auto Technologies Limited,2007-01-16
LUPIN,Lupin Limited,2001-09-10
LUXIND,Lux Industries Limited,2015-11-30
LXCHEM,Laxmi Organic Industries Limited,2021-03-25
LYKALABS,Lyka Labs Limited,1995-02-08
LYPSAGEMS,Lypsa Gems & Jewellery Limited,2013-11-05
M&M,Mahindra & Mahindra Limited,1996-01-03
M&MFIN,Mahindra & Mahindra Financial Services Limited,2006-03-17
MAANALU,Maan Aluminium Limited,2007-10-22
MACPOWER,Macpower CNC Machines Limited,2020-08-19
MADHAV,Madhav Marbles and Granites Limited,2007-12-20
MADHAVIPL,Madhav Infra Projects Limited,2026-04-20
MADHUCON,Madhucon Projects Limited,2006-10-05
MADRASFERT,Madras Fertilizers Limited,1997-07-25
MAFATIND,Mafatlal Industries Limited,2026-04-20
MAGADSUGAR,Magadh Sugar & Energy Limited,2017-07-28
MAGNUM,Magnum Ventures Limited,2007-09-20
MAHABANK,Bank of Maharashtra,2004-04-12
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,1998-01-21
MAHASTEEL,Mahamaya Steel Industries Limited,2016-07-01
MAHEPC,Mahindra EPC Irrigation Limited,2020-02-14
MAHESHWARI,Maheshwari Logistics Limited,2019-04-15
MAHLIFE,Mahindra Lifespace Developers Limited,2000-05-10
MAHLOG,Mahindra Logistics Limited,2017-11-10
MAHSCOOTER,Maharashtra Scooters Limited,1995-02-08
MAHSEAMLES,Maharashtra Seamless Limited,2004-08-25
MAITHANALL,Maithan Alloys Limited,2011-07-05
MAJESAUT,Majestic Auto Limited,2026-04-20
MALLCOM,Mallcom (India) Limited,2022-02-02
MALUPAPER,Malu Paper Mills Limited,2006-04-05
MAMATA,Mamata Machinery Limited,2024-12-27
MANAKALUCO,Manaksia Aluminium Company Limited,2015-03-30
MANAKCOAT,Manaksia Coated Metals & Industries Limited,2015-03-30
MANAKSIA,Manaksia Limited,2008-01-08
MANAKSTEEL,Manaksia Steels Limited,2015-03-30
MANALIPETC,Manali Petrochemicals Limited,2006-12-06
MANAPPURAM,Manappuram Finance Limited,2014-12-01
MANBA,Manba Finance Limited,2024-09-30
MANCREDIT,Mangal Credit and Fincorp Limited,2024-08-16
MANGALAM,Mangalam Drugs And Organics Limited,2005-05-23
MANGLMCEM,Mangalam Cement Limited,1996-01-03
MANINDS,Man Industries (India) Limited,2005-06-24
MANINFRA,Man Infraconstruction Limited,2010-03-11
MANKIND,Mankind Pharma Limited,2023-05-09
MANOMAY,Manomay Tex India Limited,2023-01-18
MANORAMA,Manorama Industries Limited,2022-07-01
MANORG,Mangalam Organics Limited,2021-11-02
MANUGRAPH,Manugraph India Limited,2006-09-14
MANYAVAR,Vedant Fashions Limited,2022-02-16
MAPMYINDIA,C.E. Info Systems Limited,2021-12-21
MARALOVER,Maral Overseas Limited,1995-02-08
MARATHON,Marathon Nextgen Realty Limited,2016-09-29
MARICO,Marico Limited,1996-05-01
MARINE,Marine Electricals (India) Limited,2020-12-02
MARKOLINES,Markolines Pavement Technologies Limited,2025-10-14
MARKSANS,Marksans Pharma Limited,2002-01-21
MARSONS,Marsons Limited,2026-03-13
MARUTI,Maruti Suzuki India Limited,2003-07-09
MASFIN,MAS Financial Services Limited,2017-10-18
MASKINVEST,Mask Investments Limited,2016-10-14
MASTEK,Mastek Limited,1995-05-10
MASTERTR,Master Trust Limited,2024-11-12
MATRIMONY,Matrimony.Com Limited,2017-09-21
MAWANASUG,Mawana Sugars Limited,2009-03-20
MAXESTATES,Max Estates Limited,2023-10-30
MAXHEALTH,Max Healthcare Institute Limited,2020-08-21
MAXIND,Max India Limited,2020-08-28
MAYURUNIQ,Mayur Uniquoters Ltd,2012-09-25
MAZDA,Mazda Limited,2016-11-01
MAZDOCK,Mazagon Dock Shipbuilders Limited,2020-10-12
MBAPL,Madhya Bharat Agro Products Limited,2019-08-22
MBEL,M & B Engineering Limited,2025-08-06
MBLINFRA,MBL Infrastructure Limited,2010-01-11
MCCHRLS-B,Mac Charles India Limited,2026-04-20
MCL,M TEK COPPER LIMITED,2020-08-19
MCLEODRUSS,Mcleod Russel India Limited,2005-07-29
MCLOUD,Magellanic Cloud Limited,2025-02-07
MCX,Multi Commodity Exchange of India Limited,2012-03-09
MEDANTA,Global Health Limited,2022-11-16
MEDIASSIST,Medi Assist Healthcare Services Limited,2024-01-23
MEDICAMEQ,Medicamen Biotech Limited,2021-10-27
MEDICO,Medico Remedies Limited,2022-05-26
MEDPLUS,Medplus Health Services Limited,2021-12-23
MEESHO,Meesho Limited,2025-12-10
MEGASTAR,Megastar Foods Limited,2022-02-16
MEIL,Mangal Electrical Industries Limited,2025-08-28
MENNPIS,Menon Pistons Limited,2026-04-20
MENONBE,Menon Bearings Limited,2015-03-09
MEP,MEP Infrastructure Developers Limited,2015-05-06
MERCANTILE,Mercantile Ventures Limited,2026-04-20
MERCURYEV,Mercury Ev-Tech Limited,2026-06-02
METROBRAND,Metro Brands Limited,2021-12-22
METROGLOBL,Metroglobal Limited,2026-04-20
METROPOLIS,Metropolis Healthcare Limited,2019-04-15
MFML,Mahalaxmi Fabric Mills Limited,2024-08-27
MFSL,Max Financial Services Limited,2000-05-17
MGEL,Mangalam Global Enterprise Limited,2020-12-23
MGL,Mahanagar Gas Limited,2016-07-01
MHLXMIRU,Mahalaxmi Rubtech Limited,2022-01-27
MHRIL,Mahindra Holidays & Resorts India Limited,2009-07-16
MICEL,MIC Electronics Limited,2021-12-17
MIDHANI,Mishra Dhatu Nigam Limited,2018-04-04
MIDWESTLTD,Midwest Limited,2025-10-24
MINDACORP,Minda Corporation Limited,2014-10-16
MINDTECK,Mindteck (India) Limited,2016-08-02
MIRZAINT,Mirza International Limited,1999-04-28
MITCON,MITCON Consultancy & Engineering Services Limited,2022-03-17
MITTAL,Mittal Life Style Limited,2020-04-29
MKPL,M K Proteins Limited,2023-06-13
MMFL,MM Forgings Limited,2006-12-20
MMP,MMP Industries Limited,2020-01-09
MMTC,MMTC Limited,2012-04-09
MMWL,Media Matrix Worldwide Limited,2026-04-20
MOBIKWIK,One Mobikwik Systems Limited,2024-12-18
MODINATUR,Modi Naturals Limited,2025-12-11
MODIRUBBER,Modi Rubber Limited,1996-02-07
MODIS,Modis Navnirman Limited,2025-11-14
MODISONLTD,MODISON LIMITED,2021-05-03
MODTHREAD,Modern Threads (India) Limited,1995-11-22
MOHITIND,Mohit Industries Limited,2013-03-14
MOIL,MOIL Limited,2010-12-15
MOKSH,Moksh Ornaments Limited,2021-05-21
MOL,Meghmani Organics Limited,2021-08-18
MOLDTECH,Mold-Tek Technologies Limited,2016-07-07
MOLDTKPAC,Mold-Tek Packaging Limited,2015-02-23
MONARCH,Monarch Networth Capital Limited,2022-01-06
MONEYBOXX,Moneyboxx Finance Limited,2025-10-15
MONTECARLO,Monte Carlo Fashions Limited,2014-12-19
MORARJEE,Morarjee Textiles Limited,2012-09-14
MOREPENLAB,Morepen Laboratories Limited,1999-11-24
MOSCHIP,Moschip Technologies Limited,2025-02-05
MOTHERSON,Samvardhana Motherson International Limited,1996-08-14
MOTILALOFS,Motilal Oswal Financial Services Limited,2007-09-11
MOTISONS,Motisons Jewellers Limited,2023-12-26
MOTOGENFIN,The Motor & General Finance Limited,1995-02-08
MPHASIS,MphasiS Limited,2004-06-04
MPSLTD,MPS Limited,2002-01-21
MRF,MRF Limited,1996-09-18
MRPL,Mangalore Refinery and Petrochemicals Limited,2005-01-07
MSPL,MSP Steel & Power Limited,2005-07-18
MSTCLTD,Mstc Limited,2019-03-29
MSUMI,Motherson Sumi Wiring India Limited,2022-03-28
MTARTECH,Mtar Technologies Limited,2021-03-15
MTEDUCARE,MT Educare Limited,2012-04-12
MTNL,Mahanagar Telephone Nigam Limited,1999-02-17
MUFIN,Mufin Green Finance Limited,2023-11-06
MUFTI,Credo Brands Marketing Limited,2023-12-27
MUKANDLTD,Mukand Limited,2004-02-23
MUKKA,Mukka Proteins Limited,2024-03-07
MUKTAARTS,Mukta Arts Limited,2000-09-12
MUNJALAU,Munjal Auto Industries Limited,2006-07-19
MUNJALSHOW,Munjal Showa Limited,2003-05-12
MURUDCERA,Murudeshwar Ceramics Limited,2004-05-28
MUTHOOTCAP,Muthoot Capital Services Limited,2015-08-24
MUTHOOTFIN,Muthoot Finance Limited,2011-05-06
MUTHOOTMF,Muthoot Microfin Limited,2023-12-26
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,2023-10-03
MWL,Mangalam Worldwide Limited,2025-09-18
NACLIND,NACL Industries Limited,2017-04-07
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,2007-09-18
NAGREEKEXP,Nagreeka Exports Limited,2007-06-18
NAHARCAP,Nahar Capital and Financial Services Limited,2008-03-11
NAHARINDUS,Nahar Industrial Enterprises Limited,2005-12-15
NAHARPOLY,Nahar Poly Films Limited,2007-03-23
NAHARSPING,Nahar Spinning Mills Limited,2007-03-23
NAM-INDIA,Nippon Life India Asset Management Limited,2017-11-06
NARMADA,Narmada Agrobase Limited,2022-10-27
NATCAPSUQ,Natural Capsules Limited,2025-02-14
NATCOPHARM,Natco Pharma Limited,1995-12-27
NATHBIOGEN,Nath Bio-Genes (India) Limited,2014-01-28
NATIONALUM,National Aluminium Company Limited,1999-04-28
NATIONSTD,National Standard (India) Limited,2026-04-20
NAUKRI,Info Edge (India) Limited,2006-11-21
NAVA,NAVA LIMITED,1996-04-03
NAVINFLUOR,Navin Fluorine International Limited,2007-06-01
NAVKARCORP,Navkar Corporation Limited,2015-09-09
NAVKARURB,Navkar Urbanstructure Limited,2025-01-17
NAVNETEDUL,Navneet Education Limited,1995-02-08
NAZARA,Nazara Technologies Limited,2021-03-30
NBCC,NBCC (India) Limited,2012-04-12
NBIFIN,N. B. I. Industrial Finance Company Limited,2016-11-23
NCC,NCC Limited,2003-10-14
NCLIND,NCL Industries Limited,2007-04-03
NDGL,Naga Dhunseri Group Limited,2016-08-29
NDL,Nandan Denim Limited,2012-03-23
NDLVENTURE,NDL Ventures Limited,2007-04-24
NDRAUTO,Ndr Auto Components Limited,2020-07-30
NDTV,New Delhi Television Limited,2004-05-19
NEAGI,Neelamalai Agro Industries Limited,2026-04-20
NECCLTD,North Eastern Carrying Corporation Limited,2016-03-02
NECLIFE,Nectar Lifesciences Limited,2005-07-18
NELCAST,Nelcast Limited,2007-06-27
NELCO,NELCO Limited,2003-05-28
NEOGEN,Neogen Chemicals Limited,2019-05-08
NEPHROPLUS,Nephrocare Health Services Limited,2025-12-17
NESCO,Nesco Limited,2008-04-08
NESTLEIND,Nestle India Limited,2023-08-01
NETWEB,Netweb Technologies India Limited,2023-07-27
NETWORK18,Network18 Media & Investments Limited,2007-02-02
NEULANDLAB,Neuland Laboratories Limited,2008-10-13
NEWGEN,Newgen Software Technologies Limited,2018-01-29
NEXTMEDIA,Next Mediaworks Limited,2001-04-04
NFL,National Fertilizers Limited,2006-12-28
NGIL,Nakoda Group of Industries Limited,2021-08-20
NGLFINE,NGL Fine-Chem Limited,2022-07-08
NH,Narayana Hrudayalaya Ltd.,2016-01-06
NHPC,NHPC Limited,2009-09-01
NIACL,The New India Assurance Company Limited,2017-11-13
NIBE,NIBE Limited,2025-02-07
NIBL,NRB Industrial Bearings Limited,2013-04-09
NIITLTD,NIIT Limited,2004-08-16
NIITMTS,NIIT Learning Systems Limited,2023-08-08
NILAINFRA,Nila Infrastructures Limited,2015-05-21
NILASPACES,Nila Spaces Limited,2018-12-28
NILE,Nile Limited,2026-04-20
NILKAMAL,Nilkamal Limited,1995-11-01
NIMBSPROJ,Nimbus Projects Limited,2026-04-06
NINSYS,NINtec Systems Limited,2023-02-21
NIPPOBATRY,Indo-National Limited,1999-10-06
NIRAJ,Niraj Cement Structurals Limited,2020-10-01
NIRAJISPAT,Niraj Ispat Industries Limited,2016-10-27
NIRLON,Nirlon Limited,2026-04-20
NITCO,Nitco Limited,2006-03-21
NITINSPIN,Nitin Spinners Limited,2006-02-02
NITIRAJ,Nitiraj Engineers Limited,2021-04-22
NITTAGELA,Nitta Gelatin India Limited,2026-04-20
NIVABUPA,Niva Bupa Health Insurance Company Limited,2024-11-14
NKIND,NK Industries Limited,1995-07-07
NLCINDIA,NLC India Limited,2000-08-23
NMDC,NMDC Limited,2008-03-03
NOCIL,NOCIL Limited,1996-01-17
NOIDATOLL,Noida Toll Bridge Company Limited,2002-12-06
NORBTEAEXP,Norben Tea & Exports Limited,1996-06-26
NORTHARC,Northern Arc Capital Limited,2024-09-24
NOVAAGRI,Nova Agritech Limited,2024-01-31
NOVARTIND,Novartis India Limited,2026-04-20
NPST,Network People Services Technologies Limited,2025-04-30
NRAIL,N R Agarwal Industries Limited,2017-04-05
NRBBEARING,NRB Bearing Limited,2000-03-08
NRL,Nupur Recyclers Limited,2023-01-12
NSIL,Nalwa Sons Investments Limited,2003-11-17
NSLNISP,NMDC Steel Limited,2023-02-20
NTPC,NTPC Limited,2004-11-05
NTPCGREEN,NTPC Green Energy Limited,2024-11-27
NUCLEUS,Nucleus Software Exports Limited,2002-12-19
NURECA,Nureca Limited,2021-02-25
NUVAMA,Nuvama Wealth Management Limited,2023-09-26
NUVOCO,Nuvoco Vistas Corporation Limited,2021-08-23
NYKAA,FSN E-Commerce Ventures Limited,2021-11-10
OAL,Oriental Aromatics Limited,2019-07-11
OBCL,Orissa Bengal Carrier Limited,2022-04-07
OBEROIRLTY,Oberoi Realty Limited,2010-10-20
OCCLLTD,OCCL Limited,2024-10-29
ODIGMA,Odigma Consultancy Solutions Limited,2024-12-12
OFSS,Oracle Financial Services Software Limited,2002-06-28
OIL,Oil India Limited,2009-09-30
OILCOUNTUB,Oil Country Tubular Limited,1995-08-30
OLAELEC,Ola Electric Mobility Limited,2024-08-09
OLECTRA,Olectra Greentech Limited,2002-03-20
OMAXAUTO,Omax Autos Limited,2003-02-20
OMAXE,Omaxe Limited,2007-08-09
OMFREIGHT,Om Freight Forwarders Limited,2025-10-08
OMINFRAL,OM INFRA LIMITED,2011-06-17
OMNI,Omnitech Engineering Limited,2026-03-05
OMPOWER,Om Power Transmission Limited,2026-04-17
ONELIFECAP,Onelife Capital Advisors Limited,2011-10-17
ONEPOINT,One Point One Solutions Limited,2019-05-09
ONESOURCE,Onesource Specialty Pharma Limited,2025-01-24
ONGC,Oil & Natural Gas Corporation Limited,1995-07-19
ONIDA,Onida Electronics Limited,2004-05-24
ONMOBILE,OnMobile Global Limited,2008-02-19
ONWARDTEC,Onward Technologies Limited,2001-03-07
OPTIEMUS,Optiemus Infracom Limited,2017-08-08
ORBTEXP,Orbit Exports Limited,2013-11-05
ORCHASP,Orchasp Limited,2025-02-07
ORCHPHARMA,Orchid Pharma Limited,2020-11-02
ORICONENT,Oricon Enterprises Limited,2015-07-24
ORIENTALTL,Oriental Trimex Limited,2007-03-07
ORIENTBELL,Orient Bell Limited,2007-02-14
ORIENTCEM,Orient Cement Limited,2013-07-12
ORIENTCER,ORIENT CERATECH LIMITED,2005-12-15
ORIENTELEC,Orient Electric Limited,2018-05-14
ORIENTHOT,Oriental Hotels Limited,1998-08-27
ORIENTLTD,Orient Press Limited,2010-03-03
ORIENTPPR,Orient Paper & Industries Limited,1995-03-29
ORIENTTECH,Orient Technologies Limited,2024-08-28
ORISSAMINE,The Orissa Minerals Development Company Limited,2010-09-29
ORKLAINDIA,Orkla India Limited,2025-11-06
ORTEL,Ortel Communications Limited,2015-03-19
ORTINGLOBE,ORTIN GLOBAL LIMITED,2021-03-30
OSIAHYPER,Osia Hyper Retail Limited,2022-12-01
OSWALAGRO,Oswal Agro Mills Limited,1995-03-29
OSWALGREEN,Oswal Greentech Limited,1996-08-28
OSWALPUMPS,Oswal Pumps Limited,2025-06-20
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,2023-02-28
PACEDIGITK,Pace Digitek Limited,2025-10-06
