Symbol,NAME OF COMPANY,ListingDate
BAJAJELEC,Bajaj Electricals Limited,2007-11-02
BAJAJFINSV,Bajaj Finserv Limited,2008-05-26
BAJAJHCARE,Bajaj Healthcare Limited,2021-11-25
BAJAJHFL,Bajaj Housing Finance Limited,2024-09-16
BAJAJHIND,Bajaj Hindusthan Sugar Limited,1995-05-10
BAJAJHLDNG,Bajaj Holdings & Investment Limited,1995-03-15
BAJAJINDEF,Indef Manufacturing Limited,2025-02-21
BAJAJST,Bajaj Steel Industries Limited,2026-04-20
BAJEL,Bajel Projects Limited,2023-12-19
BAJFINANCE,Bajaj Finance Limited,2003-04-01
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,2024-09-12
BALAJITELE,Balaji Telefilms Limited,2000-11-22
BALAMINES,Balaji Amines Limited,2007-04-05
BALAXI,BALAXI PHARMACEUTICALS LIMITED,2015-11-30
BALKRISHNA,Balkrishna Paper Mills Limited,2015-07-28
BALKRISIND,Balkrishna Industries Limited,2006-01-27
BALMLAWRIE,Balmer Lawrie & Company Limited,1995-07-06
BALPHARMA,Bal Pharma Limited,2006-05-08
BALRAMCHIN,Balrampur Chini Mills Limited,1995-02-08
BALUFORGE,Balu Forge Industries Limited,2024-04-29
BANARBEADS,Banaras Beads Limited,1995-07-07
BANARISUG,Bannari Amman Sugars Limited,2003-05-28
BANCOINDIA,Banco Products (I) Limited,2006-12-22
BANDHANBNK,Bandhan Bank Limited,2018-03-27
BANG,Bang Overseas Limited,2008-02-20
BANKA,Banka BioLoo Limited,2020-10-29
BANKBARODA,Bank of Baroda,1997-02-19
BANKINDIA,Bank of India,1997-04-30
BANSALWIRE,Bansal Wire Industries Limited,2024-07-10
BANSWRAS,Banswara Syntex Limited,2007-04-11
BASF,BASF India Limited,1995-05-17
BASML,Bannari Amman Spinning Mills Limited,2005-11-14
BATAINDIA,Bata India Limited,2003-06-18
BATLIBOI,Batliboi Limited,2026-04-20
BAYERCROP,Bayer Cropscience Limited,2010-01-08
BBL,Bharat Bijlee Limited,2006-11-21
BBOX,Black Box Limited,2003-07-22
BBTC,The Bombay Burmah Trading Corporation Limited,1996-04-03
BBTCL,B&B Triplewall Containers Limited,2022-11-23
BCG,Brightcom Group Limited,2015-05-08
BCLIND,Bcl Industries Limited,2021-03-04
BCONCEPTS,Brand Concepts Limited,2022-01-11
BCPL,BCPL Railway Infrastructure Limited,2026-03-27
BDL,Bharat Dynamics Limited,2018-03-23
BEARDSELL,Beardsell Limited,2015-01-13
BECTORFOOD,Mrs. Bectors Food Specialities Limited,2020-12-24
BEDMUTHA,Bedmutha Industries Limited,2010-10-14
BEEKAY,Beekay Steel Industries Limited,2026-04-20
BEL,Bharat Electronics Limited,2000-07-19
BELLACASA,Bella Casa Fashion & Retail Limited,2025-07-18
BELRISE,Belrise Industries Limited,2025-05-28
BEML,BEML Limited,2003-11-05
BENGALASM,Bengal & Assam Company Limited,2026-04-20
BEPL,Bhansali Engineering Polymers Limited,2005-03-21
BERGEPAINT,Berger Paints (I) Limited,1999-11-24
BESTAGRO,Best Agrolife Limited,2024-04-10
BETA,Beta Drugs Limited,2025-11-24
BFINVEST,BF Investment Limited,2011-01-14
BFUTILITIE,BF Utilities Limited,2007-05-03
BGRENERGY,BGR Energy Systems Limited,2008-01-03
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,2021-10-18
BHAGERIA,Bhageria Industries Limited,2016-03-02
BHAGYANGR,Bhagyanagar India Limited,2017-05-17
BHANDARI,Bhandari Hosiery Exports Limited,2017-01-30
BHARATCOAL,Bharat Coking Coal Limited,2026-01-19
BHARATFORG,Bharat Forge Limited,2003-04-04
BHARATGEAR,Bharat Gears Limited,1996-04-03
BHARATRAS,Bharat Rasayan Limited,1995-10-11
BHARATSE,Bharat Seats Limited,2025-03-24
BHARATWIRE,Bharat Wire Ropes Limited,2016-04-01
BHARTIARTL,Bharti Airtel Limited,2002-02-15
BHARTIHEXA,Bharti Hexacom Limited,2024-04-12
BHEL,Bharat Heavy Electricals Limited,2003-11-11
BI,Bilcare Limited,2026-04-20
BIGBLOC,Bigbloc Construction Limited,2016-09-02
BIKAJI,Bikaji Foods International Limited,2022-11-16
BIL,Bhartiya International Limited,2000-04-12
BILVYAPAR,BIL VYAPAR LIMITED,2006-09-27
BIMETAL,Bimetal Bearings Limited,2026-04-20
BIOCON,Biocon Limited,2004-04-07
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,1996-06-12
BIRLACABLE,Birla Cable Limited,1995-12-06
BIRLACORPN,Birla Corporation Limited,1995-04-12
BIRLAMONEY,Aditya Birla Money Limited,2008-02-07
BIRLANU,BirlaNu Limited,1995-04-26
BIRLAPREC,Birla Precision Technologies Limited,2026-04-20
BLACKBUCK,BLACKBUCK LIMITED,2024-11-22
BLACKROSE,Black Rose Inds. Limited,2026-04-20
BLAL,BEML Land Assets Limited,2023-04-19
BLBLIMITED,BLB Limited,2000-05-31
BLIL,Balmer Lawrie Investments Limited,2026-04-20
BLISSGVS,Bliss GVS Pharma Limited,2010-07-26
BLKASHYAP,B. L. Kashyap and Sons Limited,2006-03-17
BLS,BLS International Services Limited,2016-06-14
BLSE,BLS E-Services Limited,2024-02-06
BLUECOAST,Blue Coast Hotels Limited,2000-02-16
BLUEDART,Blue Dart Express Limited,2002-12-12
BLUEJET,Blue Jet Healthcare Limited,2023-11-01
BLUESTARCO,Blue Star Limited,2000-06-15
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,2025-08-19
BLUSPRING,Bluspring Enterprises Limited,2025-06-11
BMWVENTLTD,BMW Ventures Limited,2025-10-01
BNAGROCHEM,BN Agrochem Limited,2026-04-20
BNALTD,B & A Limited,2026-04-20
BODALCHEM,Bodal Chemicals Limited,2011-08-22
BOHRAIND,Bohra Industries Limited,2022-10-27
BOMDYEING,Bombay Dyeing & Mfg Company Limited,1995-04-26
BONLON,Bonlon Industries Limited,2026-02-20
BORANA,Borana Weaves Limited,2025-05-27
BOROLTD,Borosil Limited,2020-07-22
BORORENEW,BOROSIL RENEWABLES LIMITED,2018-05-25
BOROSCI,Borosil Scientific Limited,2024-06-07
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,2000-01-03
BOSCHLTD,Bosch Limited,2003-05-12
BPCL,Bharat Petroleum Corporation Limited,1995-09-13
BPL,BPL Limited,1995-06-14
BRIGADE,Brigade Enterprises Limited,2007-12-31
BRIGHOTEL,Brigade Hotel Ventures Limited,2025-07-31
BRITANNIA,Britannia Industries Limited,1998-11-05
BRNL,Bharat Road Network Limited,2017-09-18
BROOKS,Brooks Laboratories Limited,2011-09-05
BSE,BSE Limited,2017-02-03
BSHSL,Bombay Super Hybrid Seeds Limited,2020-10-28
BSL,BSL Limited,1995-07-27
BSOFT,BIRLASOFT LIMITED,1999-11-24
BTML,Bodhi Tree Multimedia Limited,2023-02-15
BTTL,Bhilwara Technical Textiles Limited,2026-04-20
BUILDPRO,Shankara Buildpro Limited,2026-01-09
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,2014-04-28
BVCL,Barak Valley Cements Limited,2007-11-23
BYKE,The Byke Hospitality Ltd,2015-04-15
CALSOFT,California Software Company Limited,2000-06-28
CAMLINFINE,Camlin Fine Sciences Limited,2015-01-20
CAMPUS,Campus Activewear Limited,2022-05-09
CAMS,Computer Age Management Services Limited,2021-05-07
CANBK,Canara Bank,2002-12-23
CANFINHOME,Can Fin Homes Limited,1995-05-10
CANHLIFE,Canara HSBC Life Insurance Company Limited,2025-10-17
CANTABIL,Cantabil Retail India Limited,2010-10-12
CAPACITE,Capacit'e Infraprojects Limited,2017-09-25
CAPILLARY,Capillary Technologies India Limited,2025-11-21
CAPITALSFB,Capital Small Finance Bank Limited,2024-02-14
CAPLIPOINT,Caplin Point Laboratories Limited,2014-06-23
CAPTRUST,Capital Trust Limited,2017-01-16
CARBORUNIV,Carborundum Universal Limited,1996-04-03
CARERATING,CARE Ratings Limited,2012-12-26
CARRARO,Carraro India Limited,2024-12-30
CARTRADE,Cartrade Tech Limited,2021-08-20
CARYSIL,CARYSIL LIMITED,2021-01-14
CASTROLIND,Castrol India Limited,2014-03-14
CCAVENUE,AvenuesAI Limited,2016-04-04
CCCL,Consolidated Construction Consortium Limited,2007-10-15
CCHHL,Country Club Hospitality & Holidays Limited,2015-02-03
CCL,CCL Products (India) Limited,2004-06-07
CDSL,Central Depository Services (India) Limited,2017-06-30
CEATLTD,CEAT Limited,2008-02-01
CEIGALL,Ceigall India Limited,2024-08-08
CEINSYS,Ceinsys Tech Limited,2026-02-19
CELEBRITY,Celebrity Fashions Limited,2006-01-12
CELLO,Cello World Limited,2023-11-06
CEMPRO,Cemindia Projects Limited,1999-02-10
CENTENKA,Century Enka Limited,1995-05-10
CENTEXT,Century Extrusions Limited,2004-07-20
CENTRALBK,Central Bank of India,2007-08-21
CENTRUM,Centrum Capital Limited,2018-04-04
CENTUM,Centum Electronics Limited,2007-10-05
CENTURYPLY,Century Plyboards (India) Limited,2006-03-23
CERA,Cera Sanitaryware Limited,2007-11-02
CEREBRAINT,Cerebra Integrated Technologies Limited,2013-06-26
CESC,CESC Limited,1995-02-08
CEWATER,Concord Enviro Systems Limited,2024-12-27
CGCL,Capri Global Capital Limited,2010-10-29
CGPOWER,CG Power and Industrial Solutions Limited,1995-03-01
CHALET,Chalet Hotels Limited,2019-02-07
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1995-06-14
CHEMBOND,Chembond Material Technologies Limited,2019-11-20
CHEMBONDCH,Chembond Chemicals Limited,2025-07-23
CHEMCON,Chemcon Speciality Chemicals Limited,2020-10-01
CHEMFAB,Chemfab Alkalis Limited,2018-04-25
CHEMPLASTS,Chemplast Sanmar Limited,2021-08-24
CHENNPETRO,Chennai Petroleum Corporation Limited,2000-06-07
CHEVIOT,Cheviot Company Limited,2022-06-20
CHOICEIN,Choice International Limited,2022-04-08
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,1996-05-15
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,2017-09-25
CIEINDIA,CIE Automotive India Limited,2007-08-30
CIFL,Capital India Finance Limited,2025-04-17
CINELINE,Cineline India Limited,2012-06-13
CINEVISTA,Cinevista Limited,2000-05-02
CIPLA,Cipla Limited,1995-02-08
CLEAN,Clean Science and Technology Limited,2021-07-19
CLEANMAX,Clean Max Enviro Energy Solutions Limited,2026-03-02
CLEDUCATE,CL Educate Limited,2017-03-31
CLSEL,Chaman Lal Setia Exports Limited,2021-05-12
CMPDI,Central Mine Planning & Design Institute Limited,2026-03-30
CMRGREEN,CMR Green Technologies Limited,2026-06-10
CMSINFO,CMS Info Systems Limited,2021-12-31
CNL,Creative Newtech Limited,2019-08-05
COALINDIA,Coal India Limited,2010-11-04
COASTCORP,Coastal Corporation Limited,2021-10-08
COCHINSHIP,Cochin Shipyard Limited,2017-08-11
COCKERILL,John Cockerill India Limited,2026-04-20
COFFEEDAY,Coffee Day Enterprises Limited,2015-11-02
COFORGE,Coforge Limited,2004-08-30
COHANCE,Cohance Lifesciences Limited,2020-03-09
COLPAL,Colgate Palmolive (India) Limited,2007-12-17
COMFINTE,Comfort Intech Limited,2026-04-20
COMPINFO,Compuage Infocom Limited,2016-07-07
COMPUSOFT,Compucom Software Limited,2012-03-02
COMSYN,Commercial Syn Bags Limited,2024-01-23
CONCOR,Container Corporation of India Limited,1997-05-07
CONCORDBIO,Concord Biotech Limited,2023-08-18
CONFIPET,Confidence Petroleum India Limited,2019-06-13
CONSOFINVT,Consolidated Finvest & Holdings Limited,2005-03-29
CONTROLPR,Control Print Limited,2016-06-24
CORALFINAC,Coral India Finance & Housing Limited,1996-03-25
CORDSCABLE,Cords Cable Industries Limited,2008-02-13
COROMANDEL,Coromandel International Limited,1995-05-31
CORONA,CORONA Remedies Limited,2025-12-15
COSMOFIRST,COSMO FIRST LIMITED,1995-05-25
COUNCODOS,Country Condo's Limited,2009-01-22
CPCAP,CP Capital Limited,2010-10-06
CPEDU,Career Point Edutech Limited,2025-09-05
CPPLUS,Aditya Infotech Limited,2025-08-05
CRAFTSMAN,Craftsman Automation Limited,2021-03-25
CRAMC,Canara Robeco Asset Management Company Limited,2025-10-16
CREATIVEYE,Creative Eye Limited,2000-12-20
CREDITACC,CREDITACCESS GRAMEEN LIMITED,2018-08-23
CREST,Crest Ventures Limited,2006-12-27
CRISIL,Crisil Limited,1995-06-28
CRIZAC,Crizac Limited,2025-07-09
CROMPTON,Crompton Greaves Consumer Electricals Limited,2016-05-13
CROWN,Crown Lifters Limited,2022-02-08
CSBBANK,CSB Bank Limited,2019-12-04
CSLFINANCE,CSL Finance Limited,2022-07-21
CTE,Cambridge Technology Enterprises Limited,2007-02-07
CUB,City Union Bank Limited,1998-08-25
CUBEXTUB,Cubex Tubings Limited,1996-04-24
CUMMINSIND,Cummins India Limited,1995-03-29
CUPID,Cupid Limited,2016-09-16
CURAA,Cura Technologies Limited,2025-03-21
CYBERMEDIA,Cyber Media (India) Limited,2005-06-10
CYBERTECH,Cybertech Systems And Software Limited,1999-01-27
CYIENT,Cyient Limited,1998-09-30
CYIENTDLM,Cyient DLM Limited,2023-07-10
DABUR,Dabur India Limited,1999-04-28
DAICHI,Dai-Ichi Karkaria Limited,2026-04-20
DALBHARAT,Dalmia Bharat Limited,2019-01-22
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,1996-01-17
DAMCAPITAL,Dam Capital Advisors Limited,2024-12-27
DAMODARIND,Damodar Industries Limited,2016-07-04
DANGEE,Dangee Dums Limited,2020-11-13
DATAMATICS,Datamatics Global Services Limited,2004-05-07
DATAPATTNS,Data Patterns (India) Limited,2021-12-24
DAVANGERE,Davangere Sugar Company Limited,2024-01-25
DBCORP,D.B.Corp Limited,2010-01-06
DBEIL,Deepak Builders & Engineers India Limited,2024-10-28
DBL,Dilip Buildcon Limited,2016-08-11
DBOL,Dhampur Bio Organics Limited,2022-09-08
DBREALTY,Valor Estate Limited,2010-02-24
DBSTOCKBRO,DB (International) Stock Brokers Limited,2012-02-29
DCAL,Dishman Carbogen Amcis Limited,2017-09-21
DCBBANK,DCB Bank Limited,2006-10-27
DCI,Dc Infotech And Communication Limited,2022-10-19
DCM,DCM  Limited,1995-03-29
DCMFINSERV,DCM Financial Services Limited,1997-05-21
DCMNVL,DCM Nouvelle Limited,2019-07-16
