Symbol,Company Name,Industry,ListingDate
EIHOTEL,EIH Ltd.,Consumer Services,1995-02-08
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,2004-09-07
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,2006-09-29
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,1995-11-22
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,2006-08-03
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,2024-07-10
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,2025-11-18
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,2016-10-19
ENGINERSIN,Engineers India Ltd.,Construction,1997-08-20
ERIS,Eris Lifesciences Ltd.,Healthcare,2017-06-29
ESCORTS,Escorts Kubota Ltd.,Capital Goods,1995-03-01
ETERNAL,Eternal Ltd.,Consumer Services,2021-07-23
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,2003-06-17
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,2021-11-10
FEDERALBNK,Federal Bank Ltd.,Financial Services,1995-02-08
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,1995-04-12
FINCABLES,Finolex Cables Ltd.,Capital Goods,1995-02-15
FSL,Firstsource Solutions Ltd.,Services,2007-02-22
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,2022-11-21
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,2024-02-14
FORTIS,Fortis Healthcare Ltd.,Healthcare,2007-05-09
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,1997-04-02
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,2008-06-30
GMRAIRPORT,GMR Airports Ltd.,Services,2006-08-21
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,2005-04-20
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,2006-04-04
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,2018-10-10
GICRE,General Insurance Corporation of India,Financial Services,2017-10-25
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,2003-07-30
GLAND,Gland Pharma Ltd.,Healthcare,2020-11-20
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,2000-12-15
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,2000-02-07
MEDANTA,Global Health Ltd.,Healthcare,2022-11-16
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,2024-05-23
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,2006-04-25
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,1996-07-24
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,2001-06-20
GODREJIND,Godrej Industries Ltd.,Diversified,2003-02-25
GODREJPROP,Godrej Properties Ltd.,Realty,2010-01-05
GRANULES,Granules India Ltd.,Healthcare,2005-06-20
GRAPHITE,Graphite India Ltd.,Capital Goods,2003-02-07
GRASIM,Grasim Industries Ltd.,Construction Materials,1995-05-10
GRAVITA,Gravita India Ltd.,Metals & Mining,2010-11-16
GESHIP,Great Eastern Shipping Co. Ltd.,Services,2006-11-27
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,2019-10-16
